,State,Income
0,Goa,435959
1,Sikkim,403376
2,Delhi,376221
3,Chandigarh,330015
4,Haryana,247628
5,Telangana,233325
6,Karnataka,223175
7,Kerala,221904
8,Puducherry,220949
9,Andaman and Nicobar Islands,218649
10,Gujarat,213936
11,Tamil Nadu,213396
12,Uttarakhand,202895
13,Maharashtra,202130
14,Himachal Pradesh,190407
15,Mizoram,187327
16,Arunachal Pradesh,169742
17,Andhra Pradesh,168480
18,Punjab,151491
19,India,147210
20,Tripura,129675
21,West Bengal,121463
22,Nagaland,120518
23,Rajasthan,116492
24,Odisha,109730
25,Chhattisgarh,104989
26,Jammu and Kashmir,104889
27,Madhya Pradesh,98418
28,Assam,86801
29,Manipur,84746
30,Meghalaya,82182
31,Jharkhand,75739
32,Uttar Pradesh,65431
33,Bihar,46292
